@relation TEST
@attribute timeunit NUMERIC
@attribute storageCost NUMERIC
@attribute interestRate NUMERIC
@attribute compidx0lt2 NUMERIC
@attribute compidx4lt2 NUMERIC
@attribute compidx6lt2 NUMERIC
@attribute compidx8lt2 NUMERIC
@attribute compidx10lt2 NUMERIC
@attribute compidx12lt2 NUMERIC
@attribute compidx14lt2 NUMERIC
@attribute compidx0lt6 NUMERIC
@attribute compidx4lt6 NUMERIC
@attribute compidx6lt6 NUMERIC
@attribute compidx8lt6 NUMERIC
@attribute compidx10lt6 NUMERIC
@attribute compidx12lt6 NUMERIC
@attribute compidx14lt6 NUMERIC
@attribute compidx0lt10 NUMERIC
@attribute compidx4lt10 NUMERIC
@attribute compidx6lt10 NUMERIC
@attribute compidx8lt10 NUMERIC
@attribute compidx10lt10 NUMERIC
@attribute compidx12lt10 NUMERIC
@attribute compidx14lt10 NUMERIC
@attribute compidx0lt20 NUMERIC
@attribute compidx4lt20 NUMERIC
@attribute compidx6lt20 NUMERIC
@attribute compidx8lt20 NUMERIC
@attribute compidx10lt20 NUMERIC
@attribute compidx12lt20 NUMERIC
@attribute compidx14lt20 NUMERIC
@attribute compidx0lt30 NUMERIC
@attribute compidx4lt30 NUMERIC
@attribute compidx6lt30 NUMERIC
@attribute compidx8lt30 NUMERIC
@attribute compidx10lt30 NUMERIC
@attribute compidx12lt30 NUMERIC
@attribute compidx14lt30 NUMERIC
@attribute sku1 NUMERIC
@attribute sku10 NUMERIC
@attribute sku11 NUMERIC
@attribute sku12 NUMERIC
@attribute sku13 NUMERIC
@attribute sku14 NUMERIC
@attribute sku15 NUMERIC
@attribute sku16 NUMERIC
@attribute demandseg1 NUMERIC
@attribute demandseg1l1 NUMERIC
@attribute demandseg1l2 NUMERIC
@attribute demandseg1l4 NUMERIC
@attribute demandseg1l8 NUMERIC
@attribute demandseg2 NUMERIC
@attribute demandseg2l1 NUMERIC
@attribute demandseg2l2 NUMERIC
@attribute demandseg2l4 NUMERIC
@attribute demandseg2l8 NUMERIC
@attribute demandseg3 NUMERIC
@attribute demandseg3l1 NUMERIC
@attribute demandseg3l2 NUMERIC
@attribute demandseg3l4 NUMERIC
@attribute demandseg3l8 NUMERIC
@attribute LBL NUMERIC
@attribute MTLp2A NUMERIC
@attribute MTLp3A NUMERIC
@attribute MTLp4A NUMERIC
@attribute MTLp5A NUMERIC
@attribute MTLp6A NUMERIC
@attribute MTLp7A NUMERIC
@attribute MTLp8A NUMERIC
@attribute MTLp9A NUMERIC
@attribute MTLp10A NUMERIC
@attribute MTLp11A NUMERIC
@attribute MTLp12A NUMERIC
@attribute MTLp13A NUMERIC
@attribute MTLp14A NUMERIC
@attribute MTLp15A NUMERIC
@attribute MTLp16A NUMERIC

@data
   19.000,   27.000,    8.000,  831.937,  287.961,  260.569,  118.833,  110.315,  260.125,  214.972,  779.667,  268.132,  237.339,  109.248,  102.440,  239.256,  214.040,  746.765,  240.000,  237.000,  104.023,  101.473,  221.000,  226.000,  723.653,  218.553,  217.340,   95.000,   98.000,  214.561,  220.020,  684.381,  203.322,  206.440,   89.000,   90.000,  208.522,  216.773, 1552.000, 1787.000, 1534.000, 1627.000, 1919.000, 2091.000, 2110.000, 2008.000,   64.000,   78.000,   73.000,   76.000,   91.000,  139.000,  110.000,  107.000,  119.000,  120.000,   31.000,   35.000,   38.000,   41.000,   47.000, 1390.000, 1594.000, 1399.000, 1431.000, 1838.000, 1887.000, 1763.000, 1905.000, 1306.000, 1430.000, 1297.000, 1413.000, 1845.000, 1926.000, 1581.000, 1624.000
   20.000,   27.000,    8.000,  839.522,  283.855,  261.599,  114.838,  111.588,  260.131,  208.170,  778.187,  258.539,  239.506,  101.000,  104.000,  237.806,  204.302,  738.000,  229.345,  236.091,  103.513,  102.612,  222.251,  216.345,  721.847,  216.649,  220.936,   95.581,   99.347,  208.000,  207.000,  692.000,  202.904,  215.673,   88.607,   90.416,  209.599,  216.133, 1574.000, 1653.000, 1558.000, 1723.000, 1947.000, 2069.000, 2110.000, 2003.000,   74.000,   64.000,   78.000,   75.000,   78.000,  120.000,  139.000,  110.000,  111.000,  111.000,   18.000,   31.000,   35.000,   32.000,   40.000, 1353.000, 1528.000, 1408.000, 1418.000, 1863.000, 1840.000, 1765.000, 1858.000, 1268.000, 1425.000, 1319.000, 1416.000, 1744.000, 1868.000, 1618.000, 1622.000
   21.000,   27.000,    8.000,  843.837,  279.903,  259.794,  112.998,  117.129,  272.402,  191.929,  779.333,  251.300,  238.181,  101.778,  108.551,  246.386,  190.591,  727.000,  225.548,  231.724,  101.478,  105.034,  227.575,  206.165,  723.959,  216.014,  221.669,   93.000,  100.697,  211.401,  207.782,  689.000,  201.397,  219.085,   88.166,   91.470,  212.243,  210.865, 1535.000, 1607.000, 1565.000, 1711.000, 1947.000, 2081.000, 1841.000, 2062.000,   84.000,   74.000,   64.000,   73.000,   62.000,  113.000,  120.000,  139.000,  107.000,  120.000,   31.000,   18.000,   31.000,   38.000,   41.000, 1373.000, 1534.000, 1396.000, 1432.000, 1854.000, 1834.000, 1760.000, 1856.000, 1280.000, 1441.000, 1285.000, 1384.000, 1766.000, 1975.000, 1570.000, 1621.000
   22.000,   27.000,    8.000,  830.241,  270.943,  260.958,  112.089,  112.267,  274.894,  201.189,  767.292,  241.232,  239.258,  102.167,  103.987,  249.268,  193.105,  733.169,  205.248,  226.537,  100.784,  101.878,  230.064,  207.621,  732.131,  208.211,  223.482,   94.123,  100.174,  211.548,  215.467,  694.306,  197.902,  221.835,   89.967,   90.163,  213.802,  212.683, 1494.000, 1646.000, 1542.000, 1711.000, 1947.000, 2063.000, 1835.000, 1955.000,   88.000,   84.000,   74.000,   78.000,   82.000,  109.000,  113.000,  120.000,  110.000,  112.000,   38.000,   31.000,   18.000,   35.000,   42.000, 1411.000, 1558.000, 1398.000, 1444.000, 1819.000, 1824.000, 1700.000, 1855.000, 1309.000, 1408.000, 1281.000, 1372.000, 1756.000, 1964.000, 1569.000, 1621.000
   23.000,   27.000,    8.000,  828.688,  258.115,  255.549,  114.634,  113.809,  250.835,  207.009,  761.466,  219.992,  230.981,  108.000,  105.000,  226.478,  197.985,  758.897,  203.430,  228.034,  102.229,  102.653,  229.251,  208.984,  755.076,  206.870,  225.163,  102.000,   98.000,  213.288,  221.946,  711.449,  195.318,  218.826,   90.923,   89.186,  213.906,  215.266, 1587.000, 1669.000, 1437.000, 1844.000, 1904.000, 2199.000, 1978.000, 1955.000,   82.000,   88.000,   84.000,   64.000,   76.000,  125.000,  109.000,  113.000,  139.000,  119.000,   39.000,   38.000,   31.000,   31.000,   41.000, 1423.000, 1570.000, 1386.000, 1427.000, 1785.000, 1825.000, 1637.000, 1802.000, 1249.000, 1398.000, 1224.000, 1376.000, 1754.000, 1891.000, 1633.000, 1617.000
   24.000,   27.000,    8.000,  822.000,  256.645,  245.504,  117.743,  116.103,  251.642,  191.826,  758.889,  217.000,  219.000,  110.178,  107.545,  217.960,  188.070,  777.229,  208.409,  228.709,  107.752,  107.692,  222.832,  207.669,  763.579,  214.056,  228.742,  102.957,  100.548,  215.421,  225.755,  714.007,  196.242,  219.795,   91.714,   91.448,  211.504,  217.695, 1488.000, 1669.000, 1799.000, 1844.000, 1816.000, 1943.000, 1978.000, 2000.000,   75.000,   82.000,   88.000,   74.000,   75.000,  112.000,  125.000,  109.000,  120.000,  111.000,   28.000,   39.000,   38.000,   18.000,   32.000, 1375.000, 1547.000, 1362.000, 1405.000, 1687.000, 1782.000, 1607.000, 1736.000, 1289.000, 1376.000, 1202.000, 1363.000, 1763.000, 1853.000, 1547.000, 1606.000
   25.000,   27.000,    8.000,  848.601,  255.830,  245.517,  120.812,  119.143,  253.596,  178.636,  775.852,  218.795,  223.513,  113.077,  111.899,  227.000,  150.000,  796.277,  215.033,  228.450,  112.000,  110.000,  223.033,  195.237,  780.342,  222.729,  230.346,  104.520,  101.215,  221.594,  223.156,  725.039,  196.380,  220.646,   94.000,   92.000,  212.421,  216.780, 1570.000, 1573.000, 1478.000, 1566.000, 1816.000, 1933.000, 2060.000, 1961.000,   79.000,   75.000,   82.000,   84.000,   73.000,  117.000,  112.000,  125.000,  113.000,  107.000,   30.000,   28.000,   39.000,   31.000,   38.000, 1410.000, 1561.000, 1302.000, 1394.000, 1696.000, 1830.000, 1602.000, 1734.000, 1246.000, 1443.000, 1211.000, 1351.000, 1830.000, 1840.000, 1546.000, 1599.000
   26.000,   27.000,    8.000,  838.594,  259.428,  249.080,  117.493,  118.460,  254.421,  179.364,  780.070,  224.652,  229.410,  109.075,  112.630,  229.430,  160.272,  806.411,  228.000,  238.000,  103.000,  109.003,  218.000,  209.000,  785.269,  224.000,  233.000,  103.912,  102.603,  223.465,  222.595,  734.708,  195.000,  219.390,   94.393,   93.398,  213.701,  215.539, 1570.000, 1567.000, 1478.000, 1575.000, 1949.000, 2006.000, 1912.000, 1961.000,   70.000,   79.000,   75.000,   88.000,   78.000,   99.000,  117.000,  112.000,  109.000,  110.000,   20.000,   30.000,   28.000,   38.000,   35.000, 1441.000, 1573.000, 1300.000, 1391.000, 1762.000, 1885.000, 1594.000, 1729.000, 1318.000, 1433.000, 1191.000, 1345.000, 1736.000, 1898.000, 1544.000, 1598.000
   27.000,   27.000,    8.000,  850.673,  269.262,  256.473,  122.123,  120.278,  259.804,  179.453,  798.757,  242.167,  240.841,  113.091,  114.062,  234.000,  161.000,  820.888,  236.593,  241.059,  113.000,  109.000,  221.147,  205.728,  783.474,  224.786,  233.637,  107.060,  104.321,  226.864,  226.100,  736.400,  196.247,  220.130,   95.644,   95.428,  216.409,  216.209, 1358.000, 1613.000, 1313.000, 1427.000, 1672.000, 2227.000, 1912.000, 1961.000,   67.000,   70.000,   79.000,   82.000,   64.000,  103.000,   99.000,  117.000,  125.000,  139.000,   22.000,   20.000,   30.000,   39.000,   31.000, 1418.000, 1586.000, 1312.000, 1399.000, 1746.000, 1758.000, 1594.000, 1726.000, 1265.000, 1513.000, 1216.000, 1330.000, 1801.000, 1993.000, 1543.000, 1597.000
   28.000,   27.000,    8.000,  858.473,  267.205,  239.253,  120.934,  122.330,  260.869,  184.525,  810.433,  250.000,  229.224,  112.383,  114.402,  235.632,  172.861,  825.342,  242.899,  240.497,  111.762,  107.313,  211.000,  220.000,  765.000,  225.742,  232.449,  105.049,  103.466,  227.162,  231.677,  750.825,  198.666,  212.711,   97.042,   96.388,  217.441,  219.658, 1735.000, 1583.000, 1313.000, 1448.000, 1810.000, 1791.000, 1912.000, 1912.000,   66.000,   67.000,   70.000,   75.000,   74.000,  104.000,  103.000,   99.000,  112.000,  120.000,   31.000,   22.000,   20.000,   28.000,   18.000, 1413.000, 1604.000, 1308.000, 1306.000, 1815.000, 1742.000, 1563.000, 1704.000, 1250.000, 1440.000, 1207.000, 1338.000, 1774.000, 1879.000, 1542.000, 1588.000
   29.000,   27.000,    8.000,  875.484,  270.276,  239.561,  122.951,  123.465,  253.565,  196.237,  824.468,  254.446,  226.347,  115.000,  114.845,  222.000,  194.000,  813.000,  245.763,  234.038,  115.000,  107.000,  215.785,  222.295,  767.961,  218.000,  221.000,  105.940,  103.824,  228.107,  234.797,  754.909,  194.000,  210.278,   98.541,   97.840,  220.473,  221.609, 1450.000, 1809.000, 1444.000, 1545.000, 1747.000, 1991.000, 1912.000, 1912.000,   77.000,   66.000,   67.000,   79.000,   84.000,  118.000,  104.000,  103.000,  117.000,  113.000,   22.000,   31.000,   22.000,   30.000,   31.000, 1433.000, 1625.000, 1311.000, 1371.000, 1679.000, 1777.000, 1561.000, 1638.000, 1173.000, 1504.000, 1197.000, 1333.000, 1633.000, 1846.000, 1530.000, 1588.000
   30.000,   27.000,    8.000,  839.561,  271.214,  236.197,  128.886,  120.833,  256.893,  199.872,  772.000,  253.970,  220.658,  121.598,  111.448,  226.941,  197.883,  808.700,  242.713,  228.452,  118.543,  104.265,  222.246,  222.840,  752.892,  218.275,  219.309,  107.982,  101.863,  230.903,  233.149,  751.210,  195.695,  208.467,  106.000,   96.869,  222.591,  222.750, 1392.000, 1467.000, 1470.000, 1487.000, 1887.000, 2333.000, 1836.000, 1723.000,   71.000,   77.000,   66.000,   70.000,   88.000,  111.000,  118.000,  104.000,   99.000,  109.000,   26.000,   22.000,   31.000,   20.000,   38.000, 1391.000, 1593.000, 1317.000, 1361.000, 1668.000, 1725.000, 1465.000, 1585.000, 1250.000, 1449.000, 1217.000, 1330.000, 1629.000, 1808.000, 1529.000, 1588.000
   31.000,   27.000,    8.000,  844.356,  262.993,  246.668,  129.556,  120.977,  252.217,  204.766,  784.000,  247.304,  232.947,  122.945,  111.851,  226.472,  204.033,  802.781,  234.712,  231.730,  117.000,  105.000,  228.054,  228.155,  751.207,  215.239,  220.985,  109.120,  102.206,  233.236,  234.087,  731.770,  195.988,  208.413,  106.310,   98.547,  225.000,  222.388, 1392.000, 1422.000, 1402.000, 1419.000, 1887.000, 2333.000, 1796.000, 1723.000,   83.000,   71.000,   77.000,   67.000,   82.000,  111.000,  111.000,  118.000,  103.000,  125.000,   26.000,   26.000,   22.000,   22.000,   39.000, 1543.000, 1575.000, 1308.000, 1372.000, 1665.000, 1807.000, 1462.000, 1564.000, 1275.000, 1431.000, 1195.000, 1325.000, 1679.000, 1788.000, 1521.000, 1588.000
   32.000,   27.000,    8.000,  853.216,  263.430,  252.086,  126.975,  120.262,  255.969,  216.228,  804.934,  244.935,  239.373,  118.634,  109.684,  232.000,  224.000,  806.834,  232.495,  234.620,  114.207,  104.854,  233.507,  250.315,  740.000,  204.852,  222.529,  108.334,  102.527,  236.564,  232.364,  730.875,  190.453,  214.149,  100.000,   99.000,  229.000,  219.000, 1514.000, 1496.000, 1479.000, 1631.000, 1753.000, 2246.000, 1796.000, 1805.000,   85.000,   83.000,   71.000,   66.000,   75.000,  101.000,  111.000,  111.000,  104.000,  112.000,   35.000,   26.000,   26.000,   31.000,   28.000, 1517.000, 1669.000, 1342.000, 1392.000, 1702.000, 1807.000, 1510.000, 1560.000, 1321.000, 1427.000, 1207.000, 1321.000, 1780.000, 1961.000, 1619.000, 1582.000
   33.000,   27.000,    8.000,  819.186,  261.497,  254.656,  130.065,  124.637,  266.000,  216.220,  813.000,  235.221,  239.655,  119.369,  111.606,  246.000,  221.000,  807.312,  219.235,  232.062,  110.784,  105.919,  261.176,  250.146,  734.000,  198.333,  220.465,  106.265,  102.814,  240.503,  223.475,  731.212,  188.059,  214.218,  100.000,   99.679,  231.834,  219.355, 1436.000, 1495.000, 1467.000, 1448.000, 1880.000, 2045.000, 1793.000, 1704.000,   72.000,   85.000,   83.000,   77.000,   79.000,  121.000,  101.000,  111.000,  118.000,  117.000,   30.000,   35.000,   26.000,   22.000,   30.000, 1462.000, 1656.000, 1290.000, 1311.000, 1699.000, 1706.000, 1443.000, 1547.000, 1393.000, 1427.000, 1218.000, 1303.000, 1792.000, 1849.000, 1474.000, 1673.000
   34.000,   27.000,    8.000,  851.855,  260.423,  256.424,  128.018,  124.711,  271.881,  204.620,  854.000,  232.138,  240.657,  116.215,  112.288,  258.000,  202.000,  826.923,  211.000,  228.000,  110.197,  107.067,  267.401,  241.140,  755.000,  193.904,  218.736,  104.593,  103.387,  235.000,  212.000,  735.000,  184.210,  213.788,  100.253,   99.895,  234.197,  218.978, 1436.000, 1417.000, 1363.000, 1448.000, 1704.000, 2045.000, 1793.000, 1704.000,   54.000,   72.000,   85.000,   71.000,   70.000,   82.000,  121.000,  101.000,  111.000,   99.000,   32.000,   30.000,   35.000,   26.000,   20.000, 1490.000, 1642.000, 1289.000, 1400.000, 1723.000, 1675.000, 1433.000, 1538.000, 1416.000, 1429.000, 1216.000, 1306.000, 1614.000, 1837.000, 1474.000, 1578.000
   35.000,   27.000,    8.000,  857.769,  206.521,  230.905,  129.120,  124.510,  273.052,  189.368,  839.662,  179.866,  214.469,  119.000,  111.000,  264.472,  194.483,  754.897,  202.895,  226.054,  110.621,  107.414,  267.000,  222.625,  746.000,  187.325,  216.332,  104.565,  103.661,  238.936,  212.815,  737.364,  180.556,  208.522,   99.053,  100.265,  235.724,  216.662, 1436.000, 1568.000, 1363.000, 1484.000, 1804.000, 2045.000, 1793.000, 1704.000,   90.000,   54.000,   72.000,   83.000,   67.000,   79.000,   82.000,  121.000,  111.000,  103.000,   15.000,   32.000,   30.000,   26.000,   22.000, 1440.000, 1640.000, 1281.000, 1308.000, 1586.000, 1674.000, 1429.000, 1552.000, 1332.000, 1442.000, 1236.000, 1287.000, 1595.000, 1839.000, 1342.000, 1567.000
