Depthm,Salnty,T_degC
247,33.89,8.28
250,33.898,8.25
300,33.994,7.78
327,34.02,7.55
400,34.089,6.93
481,34.13,6.3
500,34.131,6.16
600,34.13,5.48
700,34.131,4.9
720,34.13,4.8
800,34.187,4.55
900,34.258,4.24
1000,34.332,3.93
1100,34.406,3.63
1118,34.42,3.57
0,32.95,11.4
9,32.9,11.38
10,32.896,11.38
20,32.864,11.39
22,32.86,11.39
30,32.86,11.39
45,32.86,11.4
50,32.846,11.35
67,32.81,11.23
75,32.866,11.35
90,33.01,11.49
100,33.087,11.07
125,33.286,9.79
135,33.37,9.19
150,33.495,8.87
176,33.69,8.56
200,33.788,8.24
250,33.936,7.61
257,33.57,7.53
300,34.005,6.93
345,34.0,6.34
400,34.05,5.87
500,34.105,5.28
519,34.11,5.2
600,34.144,4.8
700,34.179,4.39
776,34.2,4.13
800,34.207,4.07
900,34.238,3.85
1000,34.269,3.62
1100,34.301,3.39
1190,34.33,3.18
0,32.84,11.5
9,32.78,11.48
10,32.781,11.48
20,32.798,11.47
24,32.81,11.47
30,32.782,11.47
47,32.7,11.48
50,32.709,11.48
71,32.77,11.45
75,32.793,11.4
94,32.92,10.97
100,32.95,10.71
125,33.104,9.6
140,33.22,8.9
150,33.342,8.62
180,33.69,7.98
200,33.686,7.69
250,33.706,7.11
274,33.73,6.9
300,33.73,6.55
371,33.73,5.68
400,33.786,5.51
500,34.006,5.11
550,34.13,5.04
600,34.187,4.85
700,34.269,4.49
800,34.308,4.14
818,34.31,4.08
900,34.315,3.89
1000,34.321,3.65
1100,34.328,3.42
1200,34.337,3.18
1238,34.34,3.09
0,32.79,11.3
10,32.81,11.25
20,32.803,11.18
25,32.79,11.1
30,32.843,10.88
50,33.08,9.88
74,33.08,9.4
75,33.093,9.39
99,33.48,9.1
100,33.492,9.08
125,33.724,8.67
149,33.84,8.26
150,33.842,8.25
200,33.859,7.57
203,33.86,7.53
250,33.92,6.95
300,33.98,6.42
400,33.952,5.71
405,33.95,5.68
500,34.069,5.22
600,34.225,4.85
603,34.23,4.84
700,34.28,4.52
800,34.307,4.23
886,34.31,4.01
900,34.313,3.98
1000,34.332,3.76
1100,34.352,3.54
1200,34.372,3.32
1300,34.394,3.1
1327,34.4,3.04
0,33.01,10.9
10,32.92,10.77
20,33.033,10.61
24,33.1,10.53
30,33.141,10.35
49,,9.77
50,33.243,9.75
73,33.3,9.38
75,33.309,9.33
97,33.42,8.82
100,33.444,8.77
125,33.636,8.43
145,33.78,8.2
150,33.799,8.12
192,33.89,7.47
200,33.897,7.37
250,33.925,6.87
287,33.93,6.62
300,33.944,6.56
386,34.05,6.23
400,34.066,6.15
500,34.163,5.57
578,34.22,5.11
600,34.224,5.01
700,34.235,4.61
800,34.229,4.27
846,34.22,4.14
900,34.23,4.01
1000,34.25,3.76
1100,34.271,3.51
1200,34.292,3.27
1279,34.31,3.07
0,33.28,11.0
10,33.3,10.89
20,33.319,10.83
25,,10.81
30,33.345,10.8
50,33.416,10.61
51,33.42,10.6
75,33.567,9.89
77,33.58,9.82
100,33.671,9.27
103,33.68,9.21
125,33.732,8.88
150,33.789,8.61
155,33.8,8.57
200,33.985,8.19
204,34.0,8.16
250,34.0,7.66
300,34.0,7.17
304,34.0,7.13
400,34.1,6.72
408,34.11,6.7
500,34.169,6.11
600,34.217,5.43
607,34.22,5.38
700,34.269,4.9
792,34.31,4.5
800,34.311,4.48
900,34.319,4.21
1000,34.329,3.95
1100,34.339,3.69
1106,34.34,3.67
0,33.31,12.0
10,33.26,11.88
20,33.265,11.74
25,33.28,11.66
30,33.296,11.55
50,33.39,11.12
75,33.55,10.8
100,33.51,10.43
125,33.793,9.88
150,33.87,9.29
200,33.91,8.42
250,33.957,7.84
300,34.09,7.5
400,34.09,6.59
500,34.16,6.18
600,34.191,5.62
641,34.14,5.42
700,34.225,5.2
800,34.261,4.82
873,34.29,4.55
0,32.92,11.8
10,32.84,
20,32.937,11.51
24,32.94,11.46
30,32.929,11.36
48,,11.06
50,32.917,11.03
71,32.95,10.64
75,32.977,10.53
95,33.15,9.92
100,33.206,9.75
125,33.477,9.0
143,33.66,8.56
150,33.702,8.49
190,33.86,8.31
200,33.891,8.23
250,34.009,7.8
283,34.05,7.46
300,34.05,7.27
381,34.05,6.44
400,34.061,6.32
500,34.127,5.8
567,34.18,5.56
600,34.199,5.38
700,34.251,4.87
800,34.295,4.39
840,34.31,4.21
900,34.323,4.06
1000,34.345,3.82
1100,34.368,3.58
1152,34.38,3.45
0,32.95,12.5
10,33.027,12.5
17,33.08,12.44
20,33.072,12.43
28,33.04,12.3
30,33.029,12.19
42,,11.45
50,32.972,11.12
65,32.99,10.72
75,33.068,10.65
91,33.22,10.53
100,33.29,10.52
115,33.12,10.5
125,33.47,10.29
150,33.626,9.7
200,33.874,8.25
204,33.89,8.12
250,33.878,7.5
296,33.17,7.08
300,33.891,7.04
393,33.98,6.18
400,33.982,6.13
500,34.004,5.5
575,34.02,5.14
600,34.033,5.03
700,34.085,4.65
800,34.138,4.33
840,34.16,4.22
900,,4.07
1000,,3.82
1100,,3.57
1149,34.07,3.45
0,33.35,13.7
9,33.22,13.67
10,33.222,13.67
20,33.238,13.67
21,33.24,13.67
30,33.206,13.6
41,33.17,13.51
50,33.217,13.48
60,33.26,13.47
75,33.159,13.43
79,33.13,13.42
100,33.247,13.5
118,33.42,13.56
125,33.379,13.27
150,33.209,12.03
158,33.15,11.56
200,33.323,9.83
234,33.6,8.79
250,33.699,8.53
300,33.958,8.0
310,34.0,7.95
400,33.959,6.99
491,33.95,6.13
500,33.959,6.08
600,34.057,5.52
700,34.16,4.95
766,34.23,4.58
0,33.22,14.0
9,33.15,13.97
10,33.15,13.94
20,33.15,13.6
22,33.15,13.52
30,33.234,13.44
41,33.3,13.32
50,33.235,13.35
57,33.19,13.38
74,33.37,13.34
75,33.369,13.33
100,33.34,13.17
113,33.19,13.08
125,33.285,12.29
150,33.208,10.54
155,33.19,10.17
200,33.614,9.96
238,34.0,9.79
250,34.041,9.56
300,34.135,8.52
322,34.14,8.01
400,34.213,7.06
500,34.239,6.28
519,34.25,6.19
600,34.237,5.59
700,34.225,4.96
793,34.22,4.47
800,,4.45
900,,4.2
1000,,3.95
1100,,3.7
1200,,3.45
1234,,3.36
0,33.17,13.9
10,33.15,13.13
20,33.137,12.84
25,33.13,12.8
30,33.13,12.8
49,33.13,12.7
50,33.127,12.66
74,33.06,11.62
75,33.061,11.59
99,33.12,10.89
100,33.124,10.85
125,33.249,9.96
148,33.4,9.2
150,33.415,9.16
195,33.73,8.42
200,33.755,8.34
250,33.943,7.6
279,34.0,7.22
300,33.985,7.02
400,33.962,6.27
406,33.96,6.24
500,34.035,5.64
600,34.119,5.08
700,34.207,4.6
714,34.22,4.54
800,,4.23
900,,3.87
1000,,3.51
1100,,3.15
1110,33.93,3.11
0,33.08,13.9
8,33.19,13.73
10,33.19,13.67
19,33.15,13.37
20,33.15,13.36
30,33.142,13.19
37,33.13,13.0
50,33.027,12.02
54,33.01,11.69
71,33.21,10.87
75,33.222,10.72
100,33.26,9.9
107,33.26,9.72
125,33.405,9.22
143,33.57,8.78
150,33.616,8.66
200,33.847,8.01
205,33.86,7.96
250,33.925,7.42
260,33.93,7.3
300,33.953,6.76
374,34.0,5.9
391,34.02,5.77
400,,5.7
500,,4.92
593,33.86,4.19
0,33.12,13.7
9,33.15,13.26
10,33.15,13.22
20,33.15,12.86
23,33.15,12.76
30,33.179,12.46
46,33.24,11.72
50,33.229,11.54
67,33.19,10.78
75,33.217,10.41
89,33.3,9.83
100,33.394,9.53
125,33.611,9.03
134,33.69,8.92
150,33.783,8.68
181,33.91,8.31
200,33.939,8.13
250,33.939,7.71
275,33.95,7.52
300,33.963,7.25
368,33.8,6.56
400,34.015,6.35
500,34.065,5.85
552,34.09,5.67
600,34.099,5.45
700,34.121,5.03
800,34.147,4.63
842,34.16,4.48
900,34.211,4.31
1000,34.299,4.03
1100,34.388,3.74
1190,34.47,3.48
0,33.13,13.9
10,33.12,13.44
20,33.169,13.2
24,33.19,13.13
30,33.185,13.02
47,33.15,12.59
50,33.158,12.44
70,33.21,11.4
75,33.196,11.23
92,33.15,10.71
100,33.18,10.4
125,33.349,9.5
138,33.48,9.09
150,33.601,8.9
186,33.93,8.56
200,33.988,8.43
250,34.026,7.95
279,34.07,7.67
300,34.061,7.43
370,34.02,6.64
400,34.046,6.36
500,34.167,5.58
553,34.25,5.26
600,34.27,5.11
700,34.313,4.79
800,34.358,4.47
890,34.4,4.18
0,33.13,13.6
9,33.15,12.98
10,33.149,12.93
20,33.132,12.56
21,33.13,12.54
30,33.131,12.5
41,33.15,12.48
50,33.177,12.18
60,33.24,11.8
75,33.441,11.44
78,33.48,11.38
100,33.457,10.83
116,33.39,10.37
125,33.435,10.02
150,33.607,9.05
154,33.64,8.9
200,33.864,8.05
235,33.96,7.7
250,33.968,7.49
300,33.96,6.86
312,33.95,6.72
376,33.98,6.19
400,33.999,6.04
500,34.083,5.49
600,34.17,5.09
634,34.2,4.98
700,34.221,4.79
800,34.253,4.49
900,34.288,4.19
1000,34.323,3.9
1020,34.33,3.84
0,33.37,14.2
9,33.33,13.66
10,33.326,13.62
20,33.289,13.29
23,33.28,13.2
30,33.28,12.88
45,33.28,12.17
50,33.28,11.96
67,33.28,11.32
75,33.291,11.05
89,33.33,10.59
100,33.401,10.21
125,33.598,9.43
134,33.68,9.18
150,33.806,8.84
180,34.0,8.34
200,33.984,8.1
250,33.962,7.56
274,33.96,7.35
300,33.961,7.01
365,33.98,6.24
400,33.987,6.04
500,34.02,5.67
545,34.04,5.6
600,34.103,5.37
700,34.218,4.97
800,34.335,4.57
821,34.36,4.49
900,,4.27
1000,,3.98
1100,,3.7
1200,,3.41
1201,34.2,3.41
0,33.55,14.37
9,33.55,14.23
10,33.55,14.22
20,33.546,14.05
26,33.53,19.76
30,33.534,13.83
48,33.49,13.3
50,33.478,13.22
74,33.37,12.08
75,33.371,12.03
100,33.46,10.77
125,33.575,10.13
149,33.71,9.78
150,33.718,9.76
198,34.09,8.99
200,34.09,8.96
250,34.09,8.33
298,34.09,7.8
300,34.089,7.78
399,34.05,6.73
400,34.051,6.73
500,34.183,6.55
598,34.31,6.38
600,34.312,6.37
700,34.374,5.82
800,34.413,5.23
896,34.43,4.63
900,34.43,4.62
1000,34.419,4.3
1100,34.41,3.98
1200,34.403,3.66
1244,34.4,3.52
0,33.42,13.6
9,33.49,13.65
10,33.49,13.64
20,33.49,13.57
25,33.49,13.52
30,33.521,13.51
46,33.6,13.48
50,33.587,13.49
70,33.51,13.52
75,33.516,13.46
92,33.48,13.06
100,33.489,12.56
125,33.574,10.93
136,33.64,10.18
150,33.723,9.79
180,33.89,9.31
200,33.961,8.87
250,34.09,7.87
279,34.13,7.36
300,34.154,7.15
381,34.2,6.63
400,34.203,6.56
500,34.223,6.2
582,34.24,5.9
0,33.49,13.2
9,33.49,13.26
10,33.492,13.26
20,33.517,13.16
26,33.52,13.65
30,33.544,12.96
49,33.6,12.28
50,33.601,12.23
75,33.62,10.87
100,33.62,10.16
102,33.62,10.12
125,33.721,9.8
150,33.849,9.53
152,33.86,9.51
200,33.947,8.61
203,33.95,8.55
250,34.05,7.82
300,34.131,7.2
307,34.14,7.13
400,34.091,6.48
409,34.09,6.44
500,34.161,6.04
600,34.274,5.68
612,34.29,5.64
700,34.328,5.25
800,34.373,4.83
900,34.422,4.42
917,34.43,4.35
1000,,4.11
1100,,3.83
1200,,3.54
1263,34.65,3.36
0,33.51,13.65
8,33.49,13.71
10,33.48,13.71
20,33.433,13.68
23,33.42,13.67
30,33.427,13.69
44,33.44,13.72
50,33.436,13.55
68,33.4,12.79
75,33.368,12.42
92,33.3,11.52
100,33.291,11.16
125,33.333,10.18
139,33.4,9.74
150,33.494,9.46
184,33.8,8.76
200,33.865,8.5
250,33.977,7.8
276,33.98,7.51
300,34.011,7.19
366,34.09,6.45
400,34.154,6.39
500,34.299,6.23
532,34.33,6.18
600,34.382,5.83
700,34.431,5.26
789,34.45,4.71
800,34.448,4.67
900,34.43,4.35
1000,34.415,4.03
1100,34.401,3.71
1105,34.4,3.69
0,33.4,13.6
9,33.33,13.61
10,33.331,13.61
20,33.344,13.57
26,33.35,13.54
30,33.358,13.53
49,33.39,13.47
50,33.389,13.46
75,33.295,13.0
80,33.26,12.85
100,33.274,11.91
102,33.28,11.8
125,33.431,10.45
150,33.641,9.18
152,33.66,9.09
200,33.867,8.45
201,33.87,8.45
250,33.87,7.79
300,33.87,7.18
400,34.061,6.4
404,34.07,6.38
500,34.205,5.84
600,34.322,5.34
610,34.4,5.26
700,34.412,4.92
800,34.476,4.57
896,34.51,4.31
900,34.511,4.3
1000,34.53,4.01
1100,34.55,3.71
1200,34.572,3.42
1235,34.58,3.32
0,33.44,13.3
8,33.28,13.35
10,33.275,13.32
20,33.236,13.11
25,33.21,12.98
30,33.199,12.92
46,33.19,12.78
50,33.192,12.75
71,33.24,12.64
75,33.254,12.62
96,33.39,12.52
100,33.407,12.31
125,33.519,10.89
144,33.62,9.67
150,33.661,9.49
191,33.91,8.66
200,33.938,8.5
250,34.035,7.76
286,34.04,7.36
300,34.04,7.22
379,34.04,6.58
400,34.049,6.44
500,34.113,5.85
552,34.16,5.6
600,34.217,5.37
700,34.334,4.92
800,34.444,4.53
843,34.49,4.38
900,34.501,4.22
1000,34.522,3.93
1100,34.544,3.64
1168,34.56,3.45
0,33.42,13.89
9,33.51,13.94
10,33.507,13.94
20,33.458,13.93
25,33.42,13.92
30,33.409,13.84
48,33.35,13.48
50,33.351,13.47
75,33.31,13.07
100,33.328,11.73
101,33.33,11.67
125,33.401,10.52
150,33.51,9.55
197,33.75,8.62
200,33.757,8.57
250,33.843,7.81
296,33.86,7.27
300,33.864,7.23
397,33.96,6.49
400,33.962,6.47
500,34.02,5.9
595,34.14,5.25
600,34.08,5.39
700,34.142,4.97
800,34.207,4.62
876,34.11,4.4
900,34.273,4.33
1000,34.342,4.03
1100,34.412,3.73
1200,34.485,3.43
1207,34.49,3.41
0,33.24,14.4
9,33.42,14.23
10,33.419,14.23
20,33.407,14.21
26,33.4,14.2
30,33.37,13.97
49,33.24,12.72
50,33.239,12.7
74,33.26,12.11
75,33.259,12.04
100,33.3,10.21
125,33.546,9.3
149,33.78,8.86
150,33.78,8.84
198,33.78,8.19
200,33.784,8.16
250,33.89,7.57
300,34.02,7.05
400,34.129,6.26
402,34.13,6.25
500,34.135,5.74
600,34.14,5.34
605,34.14,5.32
700,34.248,4.87
800,34.368,4.42
898,34.49,4.02
900,34.49,4.01
1000,34.495,3.76
1100,34.5,3.51
1200,34.507,3.26
1238,34.51,3.16
0,33.28,13.4
9,33.28,13.05
10,33.276,13.0
20,33.234,12.58
26,33.21,12.36
30,33.222,12.34
49,33.26,12.24
50,33.261,12.23
75,33.28,12.06
100,33.307,11.93
101,33.31,11.92
125,33.361,10.72
150,33.49,9.31
199,33.96,8.53
200,33.964,8.52
250,34.035,7.82
300,34.109,7.24
301,34.11,7.23
400,34.14,6.41
401,34.14,6.4
500,34.199,5.89
600,34.269,5.5
602,34.27,5.49
700,34.346,5.01
800,34.415,4.55
891,34.47,4.16
900,34.47,4.14
1000,34.469,3.88
1100,34.469,3.62
1200,34.47,3.36
1227,34.47,3.29
0,33.31,13.9
9,33.31,14.02
10,33.313,14.01
20,33.338,13.88
25,33.35,13.77
30,33.343,13.68
47,33.3,13.42
50,33.298,13.41
72,33.28,13.36
75,33.269,13.37
98,33.19,13.4
100,33.195,13.38
125,33.251,13.09
146,33.3,12.84
150,33.308,12.63
194,33.46,10.13
200,33.503,9.93
250,33.851,8.64
293,34.11,8.12
300,34.107,8.03
392,34.13,7.06
400,34.133,6.99
500,34.175,6.14
587,34.22,5.54
600,34.226,5.48
700,34.274,5.0
800,34.326,4.52
862,34.36,4.22
0,33.51,14.4
9,33.66,14.43
10,33.657,14.43
20,33.586,14.42
26,33.51,14.41
30,33.51,14.4
48,33.51,14.36
50,33.499,14.33
74,33.35,13.93
75,33.353,13.92
99,33.48,13.72
100,33.478,13.71
125,33.485,13.5
148,33.49,13.31
150,33.488,13.18
196,33.53,9.91
200,33.549,9.75
250,33.796,8.32
296,34.02,7.87
300,34.032,7.82
395,34.22,6.82
400,34.22,6.77
500,34.22,5.91
594,34.22,5.26
600,34.225,5.23
700,34.314,4.74
800,34.41,4.35
878,34.49,4.13
900,34.496,4.08
1000,34.522,3.84
1100,34.55,3.61
1200,34.578,3.38
1207,34.58,3.36
0,33.86,15.6
8,33.8,15.64
10,33.796,15.63
20,33.766,15.53
24,33.75,15.48
30,33.758,15.45
46,33.8,15.41
50,33.809,15.39
70,33.84,15.3
75,33.836,15.3
94,33.82,15.28
100,33.786,15.07
125,33.643,13.88
139,33.57,12.99
150,33.561,12.31
184,33.62,10.34
200,33.676,9.79
250,33.864,8.63
276,33.96,8.36
300,34.024,8.05
369,34.16,7.42
400,34.193,7.22
500,34.26,6.68
555,34.27,6.44
600,34.292,6.14
700,34.341,5.5
800,34.388,4.88
827,34.4,4.72
900,34.425,4.48
1000,34.46,4.16
1100,34.497,3.84
1159,34.52,3.65
0,33.75,15.3
9,33.78,15.38
10,33.782,15.38
20,33.806,15.37
26,33.82,15.36
30,33.817,15.36
49,33.8,15.33
50,33.798,15.32
75,33.771,15.18
76,33.77,15.17
100,33.615,14.55
102,33.6,14.49
125,33.586,13.97
150,33.615,13.19
152,33.62,13.12
200,33.62,10.21
203,33.62,10.02
250,33.799,8.6
300,33.997,7.82
306,34.02,7.78
400,34.136,6.69
409,34.14,6.62
500,34.228,6.02
600,34.302,5.57
614,34.31,5.52
700,34.352,5.11
800,34.391,4.67
900,34.418,4.29
907,34.42,4.26
1000,34.444,4.02
1100,34.47,3.76
1200,34.497,3.5
1245,34.51,3.38
0,33.77,15.65
9,33.82,15.61
10,33.818,15.59
20,33.779,15.37
25,33.75,15.24
30,33.755,15.19
48,33.77,15.07
50,33.76,15.04
72,33.64,14.7
75,33.633,14.66
97,33.6,14.42
100,33.593,14.39
125,33.533,14.12
143,33.49,13.93
150,33.48,13.45
189,33.53,10.48
200,33.58,10.02
250,33.815,8.56
284,33.96,8.15
300,33.99,7.88
379,34.07,6.81
400,34.091,6.62
500,34.127,5.82
570,34.16,
600,34.267,5.2
700,34.334,4.77
800,34.383,4.52
851,34.4,4.47
900,34.422,4.31
1000,34.468,4.0
1100,34.515,3.68
1192,34.56,3.39
0,33.53,14.6
9,33.46,14.83
10,33.467,14.85
20,33.562,15.01
26,33.64,15.05
30,33.64,15.03
48,33.64,14.87
50,33.64,14.86
74,33.64,14.75
75,33.641,14.75
100,33.66,14.68
125,33.572,14.2
149,33.39,13.36
150,33.391,13.3
198,33.57,10.44
200,33.579,10.36
250,33.799,8.81
299,33.96,7.99
300,33.962,7.97
400,34.05,6.61
500,34.144,5.77
600,34.23,5.23
700,34.309,4.83
800,34.375,4.51
886,34.42,4.3
900,34.423,4.26
1000,34.443,3.99
1100,34.464,3.72
1200,34.486,3.44
1219,34.49,3.39
0,33.62,14.75
9,33.62,14.92
10,33.635,14.72
20,33.651,14.69
26,33.66,14.67
30,33.668,14.66
49,33.68,14.6
50,33.677,14.59
75,33.57,14.42
100,33.514,14.27
101,33.51,14.26
125,33.425,13.54
150,33.37,12.39
199,33.53,9.51
200,33.534,9.48
250,33.728,8.23
300,33.887,7.8
301,33.89,7.8
400,34.107,7.11
402,34.11,7.1
500,34.15,6.53
600,34.196,5.95
605,34.2,5.41
700,34.247,5.37
800,34.302,4.8
896,34.36,4.24
0,33.64,14.95
9,33.64,14.9
10,33.639,14.9
20,33.626,14.86
25,33.62,14.84
30,33.611,14.82
48,33.58,14.75
50,33.587,14.74
74,33.66,14.68
75,33.656,14.68
100,33.58,14.56
125,33.512,13.3
149,33.51,11.73
150,33.513,11.67
198,33.73,9.33
200,33.746,9.31
250,34.052,8.75
298,34.16,8.22
300,34.163,8.2
399,34.2,7.23
400,34.201,7.22
500,34.264,6.38
600,34.33,5.68
700,34.369,5.16
800,34.4,4.73
888,34.42,4.43
900,34.423,4.39
1000,34.451,4.09
1100,34.481,3.79
1200,34.512,3.49
1227,34.52,3.41
0,33.49,14.2
9,33.49,14.22
10,33.488,14.21
20,33.471,14.1
26,33.46,14.02
30,33.462,14.0
50,33.48,13.9
75,33.462,13.72
76,33.46,13.71
100,33.344,12.96
103,33.33,12.83
125,33.336,11.46
150,33.459,9.98
154,33.49,9.75
200,33.932,9.25
204,33.96,9.21
250,34.104,8.66
300,34.098,8.05
308,34.11,7.95
400,34.11,6.91
413,34.11,6.78
500,34.178,6.19
600,34.269,5.68
621,34.29,5.6
700,34.316,5.22
800,34.353,4.74
900,34.392,4.26
919,34.4,4.17
0,33.48,13.8
9,33.46,13.81
10,33.46,13.78
20,33.468,13.43
26,33.48,13.19
30,33.484,13.16
49,33.51,13.03
50,33.501,12.95
75,33.35,10.84
100,33.549,9.95
102,33.57,9.91
125,33.685,9.39
150,33.775,8.97
152,33.78,8.94
200,33.947,8.16
201,33.95,8.15
250,34.074,7.91
300,34.138,7.76
304,34.14,7.75
400,34.058,6.48
